wafer_id,stage,wafers_remaining,budget_remaining,budget_remaining_after,budget_per_wafer,adjustment,tau_base,tau_adjusted,risk_score,decision,reason
W021,0,176,2700,2700,15.340909090909092,0.0,0.5773292869333333,0.5773292869333333,0.5363490053333333,pass,normal
W019,0,175,2700,2700,15.428571428571429,0.0,0.5773292869333333,0.5773292869333333,0.548461636,pass,normal
W019,0,174,2700,2700,15.517241379310345,0.0,0.5773292869333333,0.5773292869333333,0.380570292,pass,normal
W004,0,173,2700,2700,15.606936416184972,0.0,0.5773292869333333,0.5773292869333333,0.19462091399999998,pass,normal
W011,0,172,2700,2700,15.69767441860465,0.0,0.5773292869333333,0.5773292869333333,0.5242469013333333,pass,normal
W017,0,171,2700,2550,15.789473684210526,0.0,0.5773292869333333,0.5773292869333333,0.6063305313333333,inspect,normal
W009,0,170,2550,2400,15.0,0.0,0.5773292869333333,0.5773292869333333,0.6586042933333333,inspect,normal
W002,0,169,2400,2250,14.201183431952662,0.0,0.5773292869333333,0.5773292869333333,0.59444226,inspect,normal
W001,0,168,2250,2250,13.392857142857142,0.0,0.5773292869333333,0.5773292869333333,0.023260973333333268,pass,normal
W021,0,167,2250,2100,13.47305389221557,0.0,0.5773292869333333,0.5773292869333333,0.5982409706666667,inspect,normal
W020,0,166,2100,2100,12.650602409638553,0.0,0.5773292869333333,0.5773292869333333,0.5062883553333333,pass,normal
W023,0,165,2100,2100,12.727272727272727,0.0,0.5773292869333333,0.5773292869333333,0.1748415413333333,pass,normal
W025,0,164,2100,2100,12.804878048780488,0.0,0.5773292869333333,0.5773292869333333,0.271807654,pass,normal
W013,0,163,2100,2100,12.883435582822086,0.0,0.5773292869333333,0.5773292869333333,0.5734619286666667,pass,normal
W025,0,162,2100,2100,12.962962962962964,0.0,0.5773292869333333,0.5773292869333333,0.5374444086666667,pass,normal
W014,0,161,2100,2100,13.043478260869565,0.0,0.5773292869333333,0.5773292869333333,0.305547592,pass,normal
W010,0,160,2100,2100,13.125,0.0,0.5773292869333333,0.5773292869333333,0.27139818000000004,pass,normal
W015,0,159,2100,1950,13.20754716981132,0.0,0.5773292869333333,0.5773292869333333,0.5927378113333334,inspect,normal
W007,0,158,1950,1950,12.341772151898734,0.0,0.5773292869333333,0.5773292869333333,0.1246671793333333,pass,normal
W023,0,157,1950,1800,12.420382165605096,0.0,0.5773292869333333,0.5773292869333333,0.5778678313333333,inspect,normal
W003,0,156,1800,1800,11.538461538461538,0.08,0.5773292869333333,0.623515629888,0.15114617666666663,pass,low_budget
W011,0,155,1800,1800,11.612903225806452,0.08,0.5773292869333333,0.623515629888,0.16168440533333334,pass,low_budget
W023,0,154,1800,1800,11.688311688311689,0.08,0.5773292869333333,0.623515629888,0.5195349220000001,pass,low_budget
W010,0,153,1800,1800,11.764705882352942,0.08,0.5773292869333333,0.623515629888,0.23624376266666663,pass,low_budget
W012,0,152,1800,1800,11.842105263157896,0.08,0.5773292869333333,0.623515629888,0.5134533986666666,pass,low_budget
W004,0,151,1800,1650,11.920529801324504,0.08,0.5773292869333333,0.623515629888,0.62539093,inspect,low_budget
W011,0,150,1650,1650,11.0,0.08,0.5773292869333333,0.623515629888,0.5201824786666667,pass,low_budget
W021,0,149,1650,1650,11.073825503355705,0.08,0.5773292869333333,0.623515629888,0.36777744799999995,pass,low_budget
W025,0,148,1650,1650,11.14864864864865,0.08,0.5773292869333333,0.623515629888,0.2371098266666666,pass,low_budget
W025,0,147,1650,1650,11.224489795918368,0.08,0.5773292869333333,0.623515629888,0.5163585286666665,pass,low_budget
W021,0,146,1650,1650,11.301369863013699,0.08,0.5773292869333333,0.623515629888,0.465963184,pass,low_budget
W022,0,145,1650,1500,11.379310344827585,0.08,0.5773292869333333,0.623515629888,0.6492999386666667,inspect,low_budget
W001,0,144,1500,1500,10.416666666666666,0.08,0.5773292869333333,0.623515629888,0.572995524,pass,low_budget
W014,0,143,1500,1500,10.48951048951049,0.08,0.5773292869333333,0.623515629888,0.25514535733333327,pass,low_budget
W020,0,142,1500,1500,10.56338028169014,0.08,0.5773292869333333,0.623515629888,0.20891689333333333,pass,low_budget
W014,0,141,1500,1500,10.638297872340425,0.08,0.5773292869333333,0.623515629888,0.37164164333333327,pass,low_budget
W018,0,140,1500,1500,10.714285714285714,0.08,0.5773292869333333,0.623515629888,0.5557081666666667,pass,low_budget
W004,0,139,1500,1500,10.79136690647482,0.08,0.5773292869333333,0.623515629888,0.5042596206666666,pass,low_budget
W014,0,138,1500,1500,10.869565217391305,0.08,0.5773292869333333,0.623515629888,0.037129880666666656,pass,low_budget
W014,0,137,1500,1500,10.94890510948905,0.08,0.5773292869333333,0.623515629888,0.16996081999999996,pass,low_budget
W011,0,136,1500,1500,11.029411764705882,0.08,0.5773292869333333,0.623515629888,0.5096865933333333,pass,low_budget
W003,0,135,1500,1500,11.11111111111111,0.08,0.5773292869333333,0.623515629888,0.5627147066666667,pass,low_budget
W011,0,134,1500,1500,11.194029850746269,0.08,0.5773292869333333,0.623515629888,0.10995471866666663,pass,low_budget
W020,0,133,1500,1500,11.278195488721805,0.08,0.5773292869333333,0.623515629888,0.5019473726666667,pass,low_budget
W009,0,132,1500,1500,11.363636363636363,0.08,0.5773292869333333,0.623515629888,0.17963150133333325,pass,low_budget
W002,0,131,1500,1500,11.450381679389313,0.08,0.5773292869333333,0.623515629888,0.5494865166666667,pass,low_budget
W019,0,130,1500,1500,11.538461538461538,0.08,0.5773292869333333,0.623515629888,0.517701498,pass,low_budget
W020,0,129,1500,1500,11.627906976744185,0.08,0.5773292869333333,0.623515629888,0.5661837946666667,pass,low_budget
W013,0,128,1500,1500,11.71875,0.08,0.5773292869333333,0.623515629888,0.3068038633333333,pass,low_budget
W016,0,127,1500,1500,11.811023622047244,0.08,0.5773292869333333,0.623515629888,0.2108057946666666,pass,low_budget
W019,0,126,1500,1500,11.904761904761905,0.08,0.5773292869333333,0.623515629888,0.5429984006666666,pass,low_budget
W022,0,125,1500,1500,12.0,0.0,0.5773292869333333,0.5773292869333333,0.1180235399999999,pass,normal
W011,0,124,1500,1500,12.096774193548388,0.0,0.5773292869333333,0.5773292869333333,0.5425013013333333,pass,normal
W003,0,123,1500,1350,12.195121951219512,0.0,0.5773292869333333,0.5773292869333333,0.7482876159999999,inspect,normal
W018,0,122,1350,1350,11.065573770491802,0.08,0.5773292869333333,0.623515629888,0.5506033506666668,pass,low_budget
W015,0,121,1350,1350,11.15702479338843,0.08,0.5773292869333333,0.623515629888,0.5044029426666667,pass,low_budget
W013,0,120,1350,1350,11.25,0.08,0.5773292869333333,0.623515629888,0.08949615866666666,pass,low_budget
W019,0,119,1350,1350,11.344537815126051,0.08,0.5773292869333333,0.623515629888,0.5191359959999999,pass,low_budget
W020,0,118,1350,1350,11.440677966101696,0.08,0.5773292869333333,0.623515629888,0.5637926133333333,pass,low_budget
W004,0,117,1350,1350,11.538461538461538,0.08,0.5773292869333333,0.623515629888,0.23335057999999997,pass,low_budget
W010,0,116,1350,1350,11.637931034482758,0.08,0.5773292869333333,0.623515629888,0.49598929866666663,pass,low_budget
W023,0,115,1350,1350,11.73913043478261,0.08,0.5773292869333333,0.623515629888,0.5889144246666667,pass,low_budget
W007,0,114,1350,1350,11.842105263157896,0.08,0.5773292869333333,0.623515629888,0.497488606,pass,low_budget
W016,0,113,1350,1350,11.946902654867257,0.08,0.5773292869333333,0.623515629888,0.602318066,pass,low_budget
W011,0,112,1350,1350,12.053571428571429,0.0,0.5773292869333333,0.5773292869333333,0.34564080333333336,pass,normal
W005,0,111,1350,1200,12.162162162162161,0.0,0.5773292869333333,0.5773292869333333,0.5987578473333334,inspect,normal
W024,0,110,1200,1200,10.909090909090908,0.08,0.5773292869333333,0.623515629888,0.5044915273333334,pass,low_budget
W012,0,109,1200,1200,11.009174311926605,0.08,0.5773292869333333,0.623515629888,0.5578848000000001,pass,low_budget
W016,0,108,1200,1200,11.11111111111111,0.08,0.5773292869333333,0.623515629888,0.582155792,pass,low_budget
W004,0,107,1200,1050,11.214953271028037,0.08,0.5773292869333333,0.623515629888,0.657336852,inspect,low_budget
W012,0,106,1050,1050,9.90566037735849,0.15,0.5773292869333333,0.6639286799733333,0.577577088,pass,critical_budget
W002,0,105,1050,1050,10.0,0.08,0.5773292869333333,0.623515629888,0.5184708266666667,pass,low_budget
W024,0,104,1050,1050,10.096153846153847,0.08,0.5773292869333333,0.623515629888,0.5069229086666667,pass,low_budget
