wafer_id,stage,decision,risk_score,threshold,scheduler_reason,confidence,top_reason_1,top_reason_2,top_reason_3
W006,0,pass,0.5701077593333334,0.5773292869333333,normal,0.0,,,
W003,0,pass,0.15886188999999998,0.5773292869333333,normal,0.0,,,
W020,0,pass,0.546739688,0.5773292869333333,normal,0.0,,,
W006,0,pass,0.20191432333333328,0.5773292869333333,normal,0.0,,,
W023,0,pass,0.18901567666666658,0.5773292869333333,normal,0.0,,,
W013,0,pass,0.54055452,0.5773292869333333,normal,0.0,,,
W001,0,pass,0.5732433833333334,0.5773292869333333,normal,0.0,,,
W007,0,pass,0.5300570213333333,0.5773292869333333,normal,0.0,,,
W019,0,inspect,0.5967316933333333,0.5773292869333333,normal,0.0,,,
W004,0,pass,0.520092568,0.5773292869333333,normal,0.0,,,
W021,0,pass,0.16683309466666663,0.5773292869333333,normal,0.0,,,
W019,0,pass,0.273454618,0.5773292869333333,normal,0.0,,,
W014,0,pass,0.5458248946666667,0.5773292869333333,normal,0.0,,,
W012,0,pass,0.5759935706666667,0.5773292869333333,normal,0.0,,,
W018,0,pass,0.28501886666666676,0.5773292869333333,normal,0.0,,,
W015,0,pass,0.2815481,0.5773292869333333,normal,0.0,,,
W001,0,inspect,0.61114134,0.5773292869333333,normal,0.0,,,
W021,0,pass,0.1259663086666666,0.5773292869333333,normal,0.0,,,
W019,0,pass,0.16617534333333334,0.5773292869333333,normal,0.0,,,
W015,0,pass,0.3752978186666666,0.5773292869333333,normal,0.0,,,
W010,0,pass,0.5694859433333334,0.5773292869333333,normal,0.0,,,
W018,0,pass,0.22625634333333328,0.5773292869333333,normal,0.0,,,
W019,0,pass,0.26750377666666664,0.5773292869333333,normal,0.0,,,
W004,0,pass,0.06560470666666662,0.5773292869333333,normal,0.0,,,
W021,0,pass,0.5363490053333333,0.5773292869333333,normal,0.0,,,
W019,0,pass,0.548461636,0.5773292869333333,normal,0.0,,,
W019,0,pass,0.380570292,0.5773292869333333,normal,0.0,,,
W004,0,pass,0.19462091399999998,0.5773292869333333,normal,0.0,,,
W011,0,pass,0.5242469013333333,0.5773292869333333,normal,0.0,,,
W017,0,inspect,0.6063305313333333,0.5773292869333333,normal,0.0,,,
W009,0,inspect,0.6586042933333333,0.5773292869333333,normal,0.0,,,
W002,0,inspect,0.59444226,0.5773292869333333,normal,0.0,,,
W001,0,pass,0.023260973333333268,0.5773292869333333,normal,0.0,,,
W021,0,inspect,0.5982409706666667,0.5773292869333333,normal,0.0,,,
W020,0,pass,0.5062883553333333,0.5773292869333333,normal,0.0,,,
W023,0,pass,0.1748415413333333,0.5773292869333333,normal,0.0,,,
W025,0,pass,0.271807654,0.5773292869333333,normal,0.0,,,
W013,0,pass,0.5734619286666667,0.5773292869333333,normal,0.0,,,
W025,0,pass,0.5374444086666667,0.5773292869333333,normal,0.0,,,
W014,0,pass,0.305547592,0.5773292869333333,normal,0.0,,,
W010,0,pass,0.27139818000000004,0.5773292869333333,normal,0.0,,,
W015,0,inspect,0.5927378113333334,0.5773292869333333,normal,0.0,,,
W007,0,pass,0.1246671793333333,0.5773292869333333,normal,0.0,,,
W023,0,inspect,0.5778678313333333,0.5773292869333333,normal,0.0,,,
W003,0,pass,0.15114617666666663,0.623515629888,low_budget,0.0,,,
W011,0,pass,0.16168440533333334,0.623515629888,low_budget,0.0,,,
W023,0,pass,0.5195349220000001,0.623515629888,low_budget,0.0,,,
W010,0,pass,0.23624376266666663,0.623515629888,low_budget,0.0,,,
W012,0,pass,0.5134533986666666,0.623515629888,low_budget,0.0,,,
W004,0,inspect,0.62539093,0.623515629888,low_budget,0.0,,,
W011,0,pass,0.5201824786666667,0.623515629888,low_budget,0.0,,,
W021,0,pass,0.36777744799999995,0.623515629888,low_budget,0.0,,,
W025,0,pass,0.2371098266666666,0.623515629888,low_budget,0.0,,,
W025,0,pass,0.5163585286666665,0.623515629888,low_budget,0.0,,,
W021,0,pass,0.465963184,0.623515629888,low_budget,0.0,,,
W022,0,inspect,0.6492999386666667,0.623515629888,low_budget,0.0,,,
W001,0,pass,0.572995524,0.623515629888,low_budget,0.0,,,
W014,0,pass,0.25514535733333327,0.623515629888,low_budget,0.0,,,
W020,0,pass,0.20891689333333333,0.623515629888,low_budget,0.0,,,
W014,0,pass,0.37164164333333327,0.623515629888,low_budget,0.0,,,
W018,0,pass,0.5557081666666667,0.623515629888,low_budget,0.0,,,
W004,0,pass,0.5042596206666666,0.623515629888,low_budget,0.0,,,
W014,0,pass,0.037129880666666656,0.623515629888,low_budget,0.0,,,
W014,0,pass,0.16996081999999996,0.623515629888,low_budget,0.0,,,
W011,0,pass,0.5096865933333333,0.623515629888,low_budget,0.0,,,
W003,0,pass,0.5627147066666667,0.623515629888,low_budget,0.0,,,
W011,0,pass,0.10995471866666663,0.623515629888,low_budget,0.0,,,
W020,0,pass,0.5019473726666667,0.623515629888,low_budget,0.0,,,
W009,0,pass,0.17963150133333325,0.623515629888,low_budget,0.0,,,
W002,0,pass,0.5494865166666667,0.623515629888,low_budget,0.0,,,
W019,0,pass,0.517701498,0.623515629888,low_budget,0.0,,,
W020,0,pass,0.5661837946666667,0.623515629888,low_budget,0.0,,,
W013,0,pass,0.3068038633333333,0.623515629888,low_budget,0.0,,,
W016,0,pass,0.2108057946666666,0.623515629888,low_budget,0.0,,,
W019,0,pass,0.5429984006666666,0.623515629888,low_budget,0.0,,,
W022,0,pass,0.1180235399999999,0.5773292869333333,normal,0.0,,,
W011,0,pass,0.5425013013333333,0.5773292869333333,normal,0.0,,,
